,執行單位,標案名稱,詳細連結
48,金門酒廠實業股份有限公司,物料處8000公升儲酒桶輸酒管路及附屬設備改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S282427262A2B2C2E2M2I&iuid=3T3F4C4C3N4E3Q4A
49,金門酒廠實業股份有限公司,行政大樓八角樓鋼架粉刷工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S282427262A2B2C2E2J2N&iuid=3T3F4C4C3N4E3Q4A
50,金門酒廠實業股份有限公司,金寧廠福利大樓員工餐廳、休閒中心及廚房整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S282427262A2B2C2E2J2L&iuid=3T3F4C4C3N4E3Q4A
51,金門酒廠實業股份有限公司,金寧廠廢水水質儀器監控系統及周邊設備改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S282427262A2B2C2E2H2J&iuid=3T3F4C4C3N4E3Q4A
52,金門酒廠實業股份有限公司,107年金寧廠釀酒二線灑水系統管路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S282427262A2B2C2E2H2I&iuid=3T3F4C4C3N4E3Q4A
53,金門酒廠實業股份有限公司,金寧廠製程生產設備汰換工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S272427262A2B2C2F2L2M&iuid=3T3F4C4C3N4E3Q4A
54,金門縣殯葬管理所,冷凍室增設負壓設備及櫃體更新與電力系統提升等改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242829282A38&iprjno=1P1Q252425242F282A2F&iuid=3T3F4C4C3N4E3Q4A
55,金門縣文化局,金門縣定古蹟許丕簡古厝修復工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024262A282A33&iprjno=2O1R1S272426262E2B2C2F2I2N&iuid=3T3F4C4C3N4E3Q4A
56,金門縣金寧鄉公所,金寧鄉昔果山吳氏宗祠周邊改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q262028252E&iuid=3T3F4C4C3N4E3Q4A
57,金門縣金寧鄉公所,金寧鄉盤山村聯外道路改善工程(第二期),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252122242B2Q&iuid=3T3F4C4C3N4E3Q4A
58,金門縣金寧鄉公所,107年度金寧鄉零星四期整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252123242B&iuid=3T3F4C4C3N4E3Q4A
59,金門縣金寧鄉公所,107年度金寧鄉零星六期整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2521242429&iuid=3T3F4C4C3N4E3Q4A
60,金門縣金寧鄉公所,107年度金寧鄉零星七期整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252124242D&iuid=3T3F4C4C3N4E3Q4A
61,金門縣金寧鄉公所,金寧鄉東洲聚落環境美化工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2421232526&iuid=3T3F4C4C3N4E3Q4A
62,金門縣金寧鄉公所,108年金寧鄉區排疏濬工程(開口契約),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q262024252B&iuid=3T3F4C4C3N4E3Q4A
63,金門縣金寧鄉公所,金寧鄉西堡及北山出海口道路整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2620272526&iuid=3T3F4C4C3N4E3Q4A
64,金門縣金寧鄉公所,金寧鄉堡山路周邊排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252123252C2Q&iuid=3T3F4C4C3N4E3Q4A
65,金門縣金寧鄉公所,108年度金寧鄉零星一期整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2620282527&iuid=3T3F4C4C3N4E3Q4A
66,金門縣金寧鄉公所,金寧鄉區域排水護岸改善應急工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q262026262C&iuid=3T3F4C4C3N4E3Q4A
67,金門縣金寧鄉公所,107年度金寧鄉零星五期整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252123262C&iuid=3T3F4C4C3N4E3Q4A
68,金門縣金寧鄉公所,金寧鄉后盤山及后沙聚落聯外道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q252123252C&iuid=3T3F4C4C3N4E3Q4A
69,金門縣金寧鄉公所,金寧鄉中二劃段395地號等排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2620272727&iuid=3T3F4C4C3N4E3Q4A
70,金門縣金寧鄉公所,金寧鄉108年度緊急農水路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2620282627&iuid=3T3F4C4C3N4E3Q4A
71,金門縣金寧鄉公所,金寧鄉頂埔下聚落環境美化改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2521232629&iuid=3T3F4C4C3N4E3Q4A
72,金門縣金寧鄉公所,金寧鄉后盤山威濟廟周邊環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024242A282A31&iprjno=1P1Q2521232529&iuid=3T3F4C4C3N4E3Q4A
73,國立金門大學,金門大學榕園樂活跑道工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q272P22292A282A3F&iprjno=1P1Q2630353B272A2B&iuid=3T3F4C4C3N4E3Q4A
74,金門國家公園管理處,108年度金門國家公園古寧頭區排水設施改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T2024242C282A35&iprjno=2L2P1T202A262E282A2J&iuid=3T3F4C4C3N4E3Q4A
75,金門國家公園管理處,軍事營區整修及活化再利用工程-和平園區整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T2024242C282A35&iprjno=2L2P1T202A2626282I&iuid=3T3F4C4C3N4E3Q4A
76,金門國家公園管理處,南山12號、19號及北山62號傳統建築修復工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T2024242C282A35&iprjno=2L2P1T202A2626282C&iuid=3T3F4C4C3N4E3Q4A
77,金門縣金門區漁會,新湖漁港觀光展銷及漁業文化環境營造工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20243328282A2T&iprjno=1P1Q251R2226&iuid=3T3F4C4C3N4E3Q4A
78,金門縣政府觀光處,金門航空站公共平面停車場新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242N2C282A47&iprjno=2O1R1S27232526292B2C2E2P2M&iuid=3T3F4C4C3N4E3Q4A
